Roster Year,Player Filename,Firstname,Surname,Position,Birthdate,Height,Hometown,Club
2009,USWNT/yael-averbuch.html,Yael,Averbuch,Midfielder,1986-11-03T00:00:00Z,5-10,"Upper Montclair, N.J.",Washington Spirit
2009,USWNT/lindsay-tarpley.html,Lindsay,Tarpley,Midfielder,1983-09-22T00:00:00Z,5-6,"Kalamazoo, Mich.",magicJack's Washington Freedom
2009,USWNT/carli-lloyd.html,Carli,Lloyd,Forward,1982-07-16T00:00:00Z,5-8,"Delran, N.J.",Sky Blue FC
2009,USWNT/kendall-fletcher.html,Kendall,Fletcher,Defender,1984-11-11T00:00:00Z,5-6,"Cary, N.C.",St. Louis Athletica
2009,USWNT/megan-rapinoe.html,Megan,Rapinoe,Forward,1985-07-05T00:00:00Z,5-7,"Redding, Calif.",Seattle Reign FC
2009,USWNT/heather-oreilly.html,Heather,O'Reilly,Midfielder,1985-01-02T00:00:00Z,5-5,"East Brunswick, N.J.",FC Kansas City
2009,USWNT/amy-lepeilbet.html,Amy,LePeilbet,Defender,1982-03-12T00:00:00Z,5-7,"Crystal Lake, Ill.",Chicago Red Stars
2009,USWNT/kacey-white.html,Kacey,White,Midfielder,1984-04-27T00:00:00Z,5-4,"Arlington, Texas",Sky Blue FC
2009,USWNT/angie-woznuk.html,Angie,Woznuk,Midfielder,1985-03-29T00:00:00Z,5-5,"El Cajon, Calif.",St. Louis Athletica
2009,USWNT/tina-dimartino.html,Tina,DiMartino,Midfielder,1986-11-06T00:00:00Z,5-2,"Massapequa Park, N.Y.",Philadelphia Independence
2009,USWNT/heather-mitts.html,Heather,Mitts,Defender,1978-06-09T00:00:00Z,5-5,"Cincinnati, Ohio",Boston Breakers
2009,USWNT/christie-rampone.html,Christie,Rampone,Defender,1975-06-24T00:00:00Z,5-6,"Point Pleasant, N.J.",Sky Blue FC
2009,USWNT/amy-rodriguez.html,Amy,Rodriguez,Forward,1987-02-17T00:00:00Z,5-4,"Lake Forest, Calif.",Utah Royals FC
2009,USWNT/cat-whitehill.html,Cat,Whitehill,Defender,1982-02-10T00:00:00Z,5-7,"Birmingham, Ala.",Washington Freedom
2009,USWNT/hope-solo.html,Hope,Solo,Goalkeeper,1981-07-30T00:00:00Z,5-9,"Richland, Wash.",Seattle Reign FC
2009,USWNT/christine-nairn.html,Christine,Nairn,Midfielder,1990-09-25T00:00:00Z,5-6,"Annapolis, Md.",Washington Spirit
2009,USWNT/tobin-heath.html,Tobin,Heath,Forward,1988-05-29T00:00:00Z,5-6,"Basking Ridge, N.J.",Portland Thorns FC
2009,USWNT/natasha-kai.html,Natasha,Kai,Forward,1983-05-22T00:00:00Z,5-8,"Kahuku, Hawaii",Sky Blue FC
2009,USWNT/angela-hucles.html,Angela,Hucles,Forward,1978-07-05T00:00:00Z,5-7,"Virginia Beach, Va.",Boston Breakers
2009,USWNT/abby-wambach.html,Abby,Wambach,Forward,1980-06-02T00:00:00Z,5-11,"Rochester, N.Y.",Unattached
2009,USWNT/lauren-holiday.html,Lauren,Holiday,Midfielder,1987-09-30T00:00:00Z,5-8,"Indianapolis, Ind.",FC Kansas City
2009,USWNT/rachel-buehler.html,Rachel,Van Hollebeke,Defender,1985-08-26T00:00:00Z,5-5,"Del Mar, Calif.",Portland Thorns FC
2009,USWNT/ella-masar.html,Ella,Masar,Forward,1986-04-03T00:00:00Z,5-7,"Urbana, Ill.",Chicago Red Stars
2009,USWNT/shannon-boxx.html,Shannon,Boxx,Midfielder,1977-06-29T00:00:00Z,5-8,"Redondo Beach, Calif.",Chicago Red Stars
2009,USWNT/marian-dalmy.html,Marian,Dalmy,Defender,1984-11-25T00:00:00Z,5-10,"Lakewood, Colo.",Chicago Red Stars
2009,USWNT/stephanie-cox.html,Stephanie,Cox,Defender,1986-04-03T00:00:00Z,5-6,"Elk Grove, Calif.",Seattle Reign FC
2009,USWNT/lori-chalupny.html,Lori,Chalupny,Defender,1984-01-29T00:00:00Z,5-4,"St. Louis, Mo.",Chicago Red Stars
2009,USWNT/nicole-barnhart.html,Nicole,Barnhart,Goalkeeper,1981-10-10T00:00:00Z,5-10,"Gilbertsville, Pa.",FC Kansas City
2009,USWNT/leslie-osborne.html,Leslie,Osborne,Midfielder,1983-05-27T00:00:00Z,5-8,"Brookfield, Wis.",Boston Breakers
