Roster Year,Player Filename,Firstname,Surname,Position,Birthdate,Height,Hometown,Club,State Code,Division Code,Region Code,Hometown Population
2009,USWNT/yael-averbuch.html,Yael,Averbuch,Midfielder,1986-11-03T00:00:00Z,5-10,"Upper Montclair, N.J.",Washington Spirit,34,2,1,11565
2009,USWNT/lindsay-tarpley.html,Lindsay,Tarpley,Midfielder,1983-09-22T00:00:00Z,5-6,"Kalamazoo, Mich.",magicJack's Washington Freedom,26,3,2,74262
2009,USWNT/carli-lloyd.html,Carli,Lloyd,Forward,1982-07-16T00:00:00Z,5-8,"Delran, N.J.",Sky Blue FC,34,2,1
2009,USWNT/kendall-fletcher.html,Kendall,Fletcher,Defender,1984-11-11T00:00:00Z,5-6,"Cary, N.C.",St. Louis Athletica,37,5,3,135234
2009,USWNT/megan-rapinoe.html,Megan,Rapinoe,Forward,1985-07-05T00:00:00Z,5-7,"Redding, Calif.",Seattle Reign FC,06,9,4,89861
2009,USWNT/heather-oreilly.html,Heather,O'Reilly,Midfielder,1985-01-02T00:00:00Z,5-5,"East Brunswick, N.J.",FC Kansas City,34,2,1
2009,USWNT/amy-lepeilbet.html,Amy,LePeilbet,Defender,1982-03-12T00:00:00Z,5-7,"Crystal Lake, Ill.",Chicago Red Stars,17,3,2,40743
2009,USWNT/kacey-white.html,Kacey,White,Midfielder,1984-04-27T00:00:00Z,5-4,"Arlington, Texas",Sky Blue FC,48,7,3,365438
2009,USWNT/angie-woznuk.html,Angie,Woznuk,Midfielder,1985-03-29T00:00:00Z,5-5,"El Cajon, Calif.",St. Louis Athletica,06,9,4,99478
2009,USWNT/tina-dimartino.html,Tina,DiMartino,Midfielder,1986-11-06T00:00:00Z,5-2,"Massapequa Park, N.Y.",Philadelphia Independence,36,2,1,17008
2009,USWNT/heather-mitts.html,Heather,Mitts,Defender,1978-06-09T00:00:00Z,5-5,"Cincinnati, Ohio",Boston Breakers,39,3,2,296943
2009,USWNT/christie-rampone.html,Christie,Rampone,Defender,1975-06-24T00:00:00Z,5-6,"Point Pleasant, N.J.",Sky Blue FC,34,2,1,18392
2009,USWNT/amy-rodriguez.html,Amy,Rodriguez,Forward,1987-02-17T00:00:00Z,5-4,"Lake Forest, Calif.",Utah Royals FC,06,9,4,77264
2009,USWNT/cat-whitehill.html,Cat,Whitehill,Defender,1982-02-10T00:00:00Z,5-7,"Birmingham, Ala.",Washington Freedom,01,6,3,212237
2009,USWNT/hope-solo.html,Hope,Solo,Goalkeeper,1981-07-30T00:00:00Z,5-9,"Richland, Wash.",Seattle Reign FC,53,9,4,48058
2009,USWNT/christine-nairn.html,Christine,Nairn,Midfielder,1990-09-25T00:00:00Z,5-6,"Annapolis, Md.",Washington Spirit,24,5,3,38394
2009,USWNT/tobin-heath.html,Tobin,Heath,Forward,1988-05-29T00:00:00Z,5-6,"Basking Ridge, N.J.",Portland Thorns FC,34,2,1
2009,USWNT/natasha-kai.html,Natasha,Kai,Forward,1983-05-22T00:00:00Z,5-8,"Kahuku, Hawaii",Sky Blue FC,15,9,4,2614
2009,USWNT/angela-hucles.html,Angela,Hucles,Forward,1978-07-05T00:00:00Z,5-7,"Virginia Beach, Va.",Boston Breakers,51,5,3,437994
2009,USWNT/abby-wambach.html,Abby,Wambach,Forward,1980-06-02T00:00:00Z,5-11,"Rochester, N.Y.",Unattached,36,2,1,210565
2009,USWNT/lauren-holiday.html,Lauren,Holiday,Midfielder,1987-09-30T00:00:00Z,5-8,"Indianapolis, Ind.",FC Kansas City,18,3,2,820445
2009,USWNT/rachel-buehler.html,Rachel,Van Hollebeke,Defender,1985-08-26T00:00:00Z,5-5,"Del Mar, Calif.",Portland Thorns FC,06,9,4,4161
2009,USWNT/ella-masar.html,Ella,Masar,Forward,1986-04-03T00:00:00Z,5-7,"Urbana, Ill.",Chicago Red Stars,17,3,2,41250
2009,USWNT/shannon-boxx.html,Shannon,Boxx,Midfielder,1977-06-29T00:00:00Z,5-8,"Redondo Beach, Calif.",Chicago Red Stars,06,9,4,66748
2009,USWNT/marian-dalmy.html,Marian,Dalmy,Defender,1984-11-25T00:00:00Z,5-10,"Lakewood, Colo.",Chicago Red Stars,08,8,4,142980
2009,USWNT/stephanie-cox.html,Stephanie,Cox,Defender,1986-04-03T00:00:00Z,5-6,"Elk Grove, Calif.",Seattle Reign FC,06,9,4,153015
2009,USWNT/lori-chalupny.html,Lori,Chalupny,Defender,1984-01-29T00:00:00Z,5-4,"St. Louis, Mo.",Chicago Red Stars,29,4,2,319294
2009,USWNT/nicole-barnhart.html,Nicole,Barnhart,Goalkeeper,1981-10-10T00:00:00Z,5-10,"Gilbertsville, Pa.",FC Kansas City,42,2,1,4832
2009,USWNT/leslie-osborne.html,Leslie,Osborne,Midfielder,1983-05-27T00:00:00Z,5-8,"Brookfield, Wis.",Boston Breakers,55,3,2,37920
