File Name,School Name,Location,Type,Enrollment
Collegewiki/University_of_Southern_California.html,University of Southern California,"Los Angeles,California","Private, Sea-grant, Space-grant","45,687"
Collegewiki/Pepperdine_University.html,Pepperdine University,"Malibu,California","Private, Doctoral/Professional Universities, Single program-Education","7,710 "
"Collegewiki/University_of_California,_Los_Angeles.html","University of California, Los Angeles","Westwood, Los Angeles,California","Public, Research , Land-grant","45,428 "
Collegewiki/Texas_A%26M_University.html,Texas A&M University,"College Station,Texas","Public, Land-grant, Sea-grant, Space-grant, Senior military college","69,367 "
Collegewiki/University_of_Nebraska.html,University of Nebraska–Lincoln,"Lincoln,Nebraska","Flagship, Public, Land-grant","25,820 "
Collegewiki/Rutgers_University%E2%80%93New_Brunswick.html,Rutgers University–New Brunswick,"New Brunswick,Piscataway,New Jersey","Flagship, Research , Land-grant, Public","40,720 "
Collegewiki/Pennsylvania_State_University.html,Pennsylvania State University,"University Park,Pennsylvania","State-related, Flagship, Land-grant, Sea-grant, Space-grant, Sun-grant, Multi-campus","47,307 "
Collegewiki/University_of_Virginia.html,University of Virginia,"Charlottesville,Virginia","Public, Flagship","24,360"
Collegewiki/Santa_Clara_University.html,Santa Clara University,"Santa Clara,California","Private, Roman Catholic, Research , Coeducational","8,629 "
Collegewiki/University_of_North_Carolina_at_Chapel_Hill.html,University of North Carolina at Chapel Hill,"Chapel Hill,North Carolina","Public, Flagship","29,847 "
Collegewiki/Stanford_University.html,Stanford University,"Stanford,California","Private, Research ","16,430"
"Collegewiki/University_of_California,_Berkeley.html","University of California, Berkeley","Berkeley,California","Public, Research ","42,519 "
Collegewiki/University_of_South_Carolina.html,University of South Carolina,"Columbia,South Carolina","Public, Flagship, State , Sea-grant","34,099 "
Collegewiki/University_of_Portland.html,University of Portland,"Portland,Oregon",Private,"4,338 "
Collegewiki/Florida_State_University.html,Florida State University,"Tallahassee,Florida","State , Sea-grant, Space-grant","41,900 "
Collegewiki/University_of_Wisconsin%E2%80%93Madison.html,University of Wisconsin–Madison,"Madison,Wisconsin","Public, Flagship, Land-grant, Sea-grant","44,413 "
Collegewiki/Brigham_Young_University.html,Brigham Young University,"Provo,Utah","Private, Not-for-profit, Space-grant","33,517"
Collegewiki/University_of_Virginia.html,University of Virginia,"Charlottesville,Virginia","Public, Flagship","24,360"
Collegewiki/Oklahoma_State_University.html,Oklahoma State University–Stillwater,"Stillwater,Oklahoma","Flagship, Public, Sun-grant, Land-grant","25,295"
