Roster Year,Player Filename,Firstname,Surname,Position,Birthdate,Height,Hometown,State Code,Division Code,Region Code,Hometown Population,First College Name,First College Public,First College Private,First College Community,First College Location,First College Enrollment,Second College Name,Second College Public,Second College Private,Second College Community,Second College Location,Second College Enrollment
2009,USWNT/yael-averbuch.html,Yael,Averbuch,Midfielder,1986-11-03T00:00:00Z,5-10,"Upper Montclair, N.J.",34,2,1,11565.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/lindsay-tarpley.html,Lindsay,Tarpley,Midfielder,1983-09-22T00:00:00Z,5-6,"Kalamazoo, Mich.",26,3,2,74262.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/carli-lloyd.html,Carli,Lloyd,Forward,1982-07-16T00:00:00Z,5-8,"Delran, N.J.",34,2,1,null,Rutgers University–New Brunswick,y,n,n,"New Brunswick,Piscataway,New Jersey","40,720 ",null,null,null,null,null,null
2009,USWNT/kendall-fletcher.html,Kendall,Fletcher,Defender,1984-11-11T00:00:00Z,5-6,"Cary, N.C.",37,5,3,135234.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/megan-rapinoe.html,Megan,Rapinoe,Forward,1985-07-05T00:00:00Z,5-7,"Redding, Calif.",6,9,4,89861.0,University of Portland,n,y,n,"Portland,Oregon","4,338 ",null,null,null,null,null,null
2009,USWNT/heather-oreilly.html,Heather,O'Reilly,Midfielder,1985-01-02T00:00:00Z,5-5,"East Brunswick, N.J.",34,2,1,null,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/amy-lepeilbet.html,Amy,LePeilbet,Defender,1982-03-12T00:00:00Z,5-7,"Crystal Lake, Ill.",17,3,2,40743.0,Arizona State University,y,n,n,"Tempe,Arizona","51,869",null,null,null,null,null,null
2009,USWNT/kacey-white.html,Kacey,White,Midfielder,1984-04-27T00:00:00Z,5-4,"Arlington, Texas",48,7,3,365438.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/angie-woznuk.html,Angie,Woznuk,Midfielder,1985-03-29T00:00:00Z,5-5,"El Cajon, Calif.",6,9,4,99478.0,University of Portland,n,y,n,"Portland,Oregon","4,338 ",null,null,null,null,null,null
2009,USWNT/tina-dimartino.html,Tina,DiMartino,Midfielder,1986-11-06T00:00:00Z,5-2,"Massapequa Park, N.Y.",36,2,1,17008.0,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 ",null,null,null,null,null,null
